#          x,    ϵ/D=0.01,   ϵ/D=0.001,  ϵ/D=0.0001,     ϵ/D=0.0
 1.00000e+03, 7.13127e-02, 6.65023e-02, 6.61149e-02, 6.60822e-02
 1.83298e+03, 5.90549e-02, 5.30580e-02, 5.25569e-02, 5.25145e-02
 3.35982e+03, 5.09839e-02, 4.34599e-02, 4.27906e-02, 4.27335e-02
 6.15848e+03, 4.57709e-02, 3.64441e-02, 3.55299e-02, 3.54509e-02
 1.12884e+04, 4.25162e-02, 3.12592e-02, 2.99947e-02, 2.98829e-02
 2.06914e+04, 4.05604e-02, 2.74422e-02, 2.56918e-02, 2.55306e-02
 3.79269e+04, 3.94237e-02, 2.46917e-02, 2.23000e-02, 2.20642e-02
 6.95193e+04, 3.87791e-02, 2.27855e-02, 1.96067e-02, 1.92588e-02
 1.27427e+05, 3.84194e-02, 2.15306e-02, 1.74709e-02, 1.69562e-02
 2.33572e+05, 3.82207e-02, 2.07476e-02, 1.57999e-02, 1.50432e-02
 4.28133e+05, 3.81115e-02, 2.02811e-02, 1.45304e-02, 1.34366e-02
 7.84760e+05, 3.80517e-02, 2.00124e-02, 1.36094e-02, 1.20742e-02
 1.43845e+06, 3.80190e-02, 1.98611e-02, 1.29798e-02, 1.09091e-02
 2.63665e+06, 3.80011e-02, 1.97771e-02, 1.25755e-02, 9.90475e-03
 4.83293e+06, 3.79913e-02, 1.97308e-02, 1.23296e-02, 9.03300e-03
 8.85867e+06, 3.79860e-02, 1.97054e-02, 1.21862e-02, 8.27148e-03
 1.62378e+07, 3.79831e-02, 1.96915e-02, 1.21048e-02, 7.60234e-03
 2.97635e+07, 3.79815e-02, 1.96839e-02, 1.20593e-02, 7.01124e-03
 5.45559e+07, 3.79807e-02, 1.96798e-02, 1.20342e-02, 6.48649e-03
 1.00000e+08, 3.79802e-02, 1.96775e-02, 1.20204e-02, 6.01851e-03
